month,day,FFMC,DMC,DC,ISI,temp,RH,wind,rain,meanArea
jan,sat,82.1,3.7,9.3,2.9,5.3,78.0,3.1,0.0,0.0
jan,sun,18.7,1.1,171.4,0.0,5.2,100.0,0.9,0.0,0.0
feb,mon,84.27,7.8,46.33,2.8,8.9,59.67,4.5,0.0,3.32
feb,tue,75.1,4.4,16.2,1.9,4.85,79.5,5.85,0.0,3.76
feb,wed,86.9,6.6,18.7,3.2,8.8,35.0,3.1,0.0,1.1
feb,thu,84.2,6.8,26.6,7.7,6.7,79.0,3.1,0.0,0.0
feb,fri,85.42,8.36,39.64,4.58,11.68,47.0,4.82,0.0,5.77
feb,sat,79.08,10.33,46.93,2.03,11.72,48.25,2.35,0.0,1.71
feb,sun,85.15,15.2,122.7,3.23,8.88,58.5,2.55,0.0,17.8
mar,mon,88.33,40.23,85.98,5.43,11.78,42.0,4.08,0.0,8.49
mar,tue,89.16,23.56,59.2,5.32,15.1,30.8,5.38,0.0,0.0
mar,wed,91.55,20.25,42.12,8.35,12.45,33.75,5.8,0.0,1.39
mar,thu,89.88,21.46,46.8,7.0,11.42,45.0,4.48,0.0,1.75
mar,fri,90.01,34.46,81.19,8.36,14.0,38.36,5.86,0.02,0.99
mar,sat,89.12,35.93,79.05,7.1,15.43,32.4,5.01,0.0,8.06
mar,sun,89.61,48.3,98.16,8.67,10.63,56.57,4.6,0.0,3.93
apr,mon,87.9,24.9,41.6,3.7,10.9,64.0,3.1,0.0,3.35
apr,wed,88.0,17.2,43.5,3.8,15.2,51.0,2.7,0.0,0.0
apr,thu,81.5,9.1,55.2,2.7,5.8,54.0,5.8,0.0,7.77
apr,fri,83.0,23.3,85.3,2.3,16.7,20.0,3.1,0.0,0.0
apr,sat,86.3,27.4,97.1,5.1,9.3,44.0,4.5,0.0,0.0
apr,sun,87.97,10.73,19.7,9.37,14.9,45.0,5.67,0.0,20.38
may,fri,89.6,25.4,73.7,5.7,18.0,40.0,4.0,0.0,38.48
may,sat,85.1,28.0,113.8,3.5,11.3,94.0,4.9,0.0,0.0
jun,mon,89.67,94.27,275.07,6.57,18.03,47.67,4.77,0.0,1.82
jun,wed,92.6,82.27,324.2,13.57,25.2,37.0,4.63,0.0,2.72
jun,thu,93.35,112.75,333.45,14.4,24.55,37.5,6.05,0.0,6.63
jun,fri,91.57,81.53,299.17,7.1,20.53,38.33,4.8,0.0,0.4
jun,sat,71.95,66.05,243.2,4.9,17.55,70.0,2.9,0.0,35.16
jun,sun,92.05,113.92,303.1,19.98,18.23,45.75,2.45,0.0,0.23
jul,mon,92.58,104.57,470.95,10.97,21.57,42.0,3.8,0.0,70.04
jul,tue,89.28,106.4,429.63,7.65,22.5,40.67,3.88,0.0,16.73
jul,wed,92.27,139.33,472.33,10.8,15.37,62.33,6.27,0.07,2.58
jul,thu,93.3,104.7,505.0,9.63,29.2,25.0,3.57,0.0,1.5
jul,fri,90.2,110.47,381.5,9.97,17.03,65.67,4.3,0.0,13.22
jul,sat,91.11,88.53,433.94,8.19,22.45,43.75,2.25,0.0,1.27
jul,sun,92.06,140.8,481.94,10.82,24.36,44.6,4.12,0.0,3.45
aug,mon,92.66,158.81,632.05,10.79,22.69,41.8,2.87,0.0,1.19
aug,tue,93.69,145.89,639.99,14.55,21.84,46.25,4.57,0.3,6.23
aug,wed,93.24,142.4,636.0,13.17,23.23,38.92,3.52,0.0,13.95
aug,thu,92.6,170.99,659.06,8.67,21.41,42.54,3.5,0.0,32.2
aug,fri,91.07,161.42,665.2,9.99,21.24,50.38,4.77,0.07,5.6
aug,sat,92.62,170.13,652.06,11.15,20.5,48.0,4.31,0.0,14.05
aug,sun,90.99,137.26,616.08,9.51,21.26,47.98,4.42,0.03,9.87
sep,mon,90.13,109.85,737.44,6.99,18.12,48.86,3.11,0.0,5.92
sep,tue,90.04,112.99,718.14,6.83,18.72,43.74,3.43,0.0,26.35
sep,wed,91.65,123.96,738.44,8.51,20.41,37.86,3.38,0.0,13.03
sep,thu,92.37,121.65,739.4,9.53,20.39,30.38,3.36,0.0,5.36
sep,fri,92.18,125.61,738.89,10.81,18.59,46.32,3.91,0.0,5.3
sep,sat,92.07,116.15,729.48,8.6,21.52,37.84,3.46,0.0,61.8
sep,sun,90.06,133.66,736.32,7.59,20.44,48.0,3.96,0.0,14.01
oct,mon,88.3,40.65,680.15,7.05,17.17,42.0,4.35,0.0,15.41
oct,tue,90.6,35.4,669.1,6.7,19.85,28.5,2.7,0.0,0.0
oct,wed,91.4,37.9,673.8,5.2,18.05,41.5,3.15,0.0,6.85
oct,fri,90.0,41.5,682.6,8.7,11.3,60.0,5.4,0.0,0.0
oct,sat,90.6,43.7,686.9,6.7,16.93,28.33,2.8,0.0,8.08
oct,sun,92.6,46.5,691.8,8.8,16.6,36.33,3.0,0.0,0.0
nov,tue,79.5,3.0,106.7,1.1,11.8,31.0,4.5,0.0,0.0
dec,mon,85.4,25.4,349.7,2.6,4.6,21.0,8.5,0.0,15.09
dec,tue,85.4,25.4,349.7,2.6,5.1,24.0,8.5,0.0,24.77
dec,wed,84.0,27.8,354.6,5.3,5.1,61.0,8.0,0.0,11.19
dec,thu,84.6,26.4,352.0,2.0,5.1,61.0,4.9,0.0,5.38
dec,fri,84.7,26.7,352.6,4.1,2.2,59.0,4.9,0.0,9.27
dec,sun,84.4,27.2,353.5,6.8,4.8,57.0,8.5,0.0,8.98
